mass,sigma
110.28000000,2.23508683
110.29000000,2.23286255
110.30000000,2.23064172
110.31000000,2.22842433
110.32000000,2.22621038
110.33000000,2.22399985
110.34000000,2.22179274
110.35000000,2.21958904
110.36000000,2.21738875
110.37000000,2.21519186
110.38000000,2.21299836
110.39000000,2.21080824
110.40000000,2.20862149
110.41000000,2.20643812
110.42000000,2.20425811
110.43000000,2.20208145
110.44000000,2.19990813
110.45000000,2.19773816
110.46000000,2.19557152
110.47000000,2.19340820
110.48000000,2.19124820
110.49000000,2.18909151
110.50000000,2.18693812
110.51000000,2.18478803
110.52000000,2.18264123
110.53000000,2.18049772
110.54000000,2.17835748
110.55000000,2.17622051
110.56000000,2.17408680
110.57000000,2.17195635
110.58000000,2.16982916
110.59000000,2.16770521
110.60000000,2.16558450
110.61000000,2.16346703
110.62000000,2.16135278
110.63000000,2.15924175
110.64000000,2.15713394
110.65000000,2.15502934
110.66000000,2.15292794
110.67000000,2.15082973
110.68000000,2.14873472
110.69000000,2.14664289
110.70000000,2.14455423
110.71000000,2.14246875
110.72000000,2.14038643
110.73000000,2.13830728
110.74000000,2.13623127
110.75000000,2.13415841
110.76000000,2.13208869
110.77000000,2.13002211
110.78000000,2.12795865
110.79000000,2.12589832
110.80000000,2.12384110
110.81000000,2.12178699
110.82000000,2.11973598
110.83000000,2.11768807
110.84000000,2.11564325
110.85000000,2.11360151
110.86000000,2.11156286
110.87000000,2.10952727
110.88000000,2.10749475
110.89000000,2.10546529
110.90000000,2.10343888
110.91000000,2.10141552
110.92000000,2.09939521
110.93000000,2.09737792
110.94000000,2.09536367
110.95000000,2.09335243
110.96000000,2.09134421
110.97000000,2.08933901
110.98000000,2.08733680
110.99000000,2.08533759
111.00000000,2.08334138
111.01000000,2.08134815
111.02000000,2.07935789
111.03000000,2.07737061
111.04000000,2.07538630
111.05000000,2.07340495
111.06000000,2.07142655
111.07000000,2.06945109
111.08000000,2.06747858
111.09000000,2.06550901
111.10000000,2.06354236
111.11000000,2.06157864
111.12000000,2.05961783
111.13000000,2.05765993
111.14000000,2.05570494
111.15000000,2.05375284
111.16000000,2.05180364
111.17000000,2.04985732
111.18000000,2.04791388
111.19000000,2.04597332
111.20000000,2.04403562
111.21000000,2.04210078
111.22000000,2.04016879
111.23000000,2.03823966
111.24000000,2.03631336
111.25000000,2.03438990
111.26000000,2.03246928
111.27000000,2.03055147
111.28000000,2.02863648
111.29000000,2.02672430
111.30000000,2.02481493
111.31000000,2.02290836
111.32000000,2.02100457
111.33000000,2.01910358
111.34000000,2.01720536
111.35000000,2.01530992
111.36000000,2.01341724
111.37000000,2.01152733
111.38000000,2.00964017
111.39000000,2.00775576
111.40000000,2.00587409
111.41000000,2.00399516
111.42000000,2.00211896
111.43000000,2.00024548
111.44000000,1.99837472
111.45000000,1.99650667
111.46000000,1.99464132
111.47000000,1.99277868
111.48000000,1.99091873
111.49000000,1.98906146
111.50000000,1.98720687
111.51000000,1.98535496
111.52000000,1.98350572
111.53000000,1.98165914
111.54000000,1.97981523
111.55000000,1.97797396
111.56000000,1.97613535
111.57000000,1.97429938
111.58000000,1.97246605
111.59000000,1.97063536
111.60000000,1.96880729
111.61000000,1.96698186
111.62000000,1.96515904
111.63000000,1.96333884
111.64000000,1.96152124
111.65000000,1.95970626
111.66000000,1.95789387
111.67000000,1.95608408
111.68000000,1.95427688
111.69000000,1.95247227
111.70000000,1.95067024
111.71000000,1.94887079
111.72000000,1.94707391
111.73000000,1.94527959
111.74000000,1.94348783
111.75000000,1.94169864
111.76000000,1.93991199
111.77000000,1.93812789
111.78000000,1.93634634
111.79000000,1.93456732
111.80000000,1.93279083
111.81000000,1.93101688
111.82000000,1.92924544
111.83000000,1.92747652
111.84000000,1.92571012
111.85000000,1.92394622
111.86000000,1.92218483
111.87000000,1.92042593
111.88000000,1.91866953
111.89000000,1.91691561
111.90000000,1.91516419
111.91000000,1.91341523
