mass,sigma
112.22000000,183.73238601
112.23000000,183.56281563
112.24000000,183.39348235
112.25000000,183.22438576
112.26000000,183.05552545
112.27000000,182.88690098
112.28000000,182.71851190
112.29000000,182.55035776
112.30000000,182.38243811
112.31000000,182.21475250
112.32000000,182.04730049
112.33000000,181.88008163
112.34000000,181.71309546
112.35000000,181.54634155
112.36000000,181.37981943
112.37000000,181.21352867
112.38000000,181.04746880
112.39000000,180.88163939
112.40000000,180.71603997
112.41000000,180.55067010
112.42000000,180.38552933
112.43000000,180.22061721
112.44000000,180.05593328
112.45000000,179.89147710
112.46000000,179.72724822
112.47000000,179.56324620
112.48000000,179.39947064
112.49000000,179.23592110
112.50000000,179.07259717
112.51000000,178.90949841
112.52000000,178.74662441
112.53000000,178.58397474
112.54000000,178.42154898
112.55000000,178.25934671
112.56000000,178.09736751
112.57000000,177.93561099
112.58000000,177.77407678
112.59000000,177.61276449
112.60000000,177.45167374
112.61000000,177.29080416
112.62000000,177.13015537
112.63000000,176.96972698
112.64000000,176.80951861
112.65000000,176.64952989
112.66000000,176.48976044
112.67000000,176.33020983
112.68000000,176.17087768
112.69000000,176.01176355
112.70000000,175.85286706
112.71000000,175.69418778
112.72000000,175.53572530
112.73000000,175.37747922
112.74000000,175.21944912
112.75000000,175.06163460
112.76000000,174.90403525
112.77000000,174.74665065
112.78000000,174.58948040
112.79000000,174.43252409
112.80000000,174.27578131
112.81000000,174.11925166
112.82000000,173.96293472
112.83000000,173.80683008
112.84000000,173.65093735
112.85000000,173.49525610
112.86000000,173.33978594
112.87000000,173.18452651
112.88000000,173.02947743
112.89000000,172.87463835
112.90000000,172.72000890
112.91000000,172.56558872
112.92000000,172.41137746
112.93000000,172.25737475
112.94000000,172.10358022
112.95000000,171.94999353
112.96000000,171.79661429
112.97000000,171.64344213
112.98000000,171.49047666
112.99000000,171.33771749
113.00000000,171.18516424
113.01000000,171.03281651
113.02000000,170.88067393
113.03000000,170.72873610
113.04000000,170.57700263
113.05000000,170.42547314
113.06000000,170.27414724
113.07000000,170.12302453
113.08000000,169.97210464
113.09000000,169.82138716
113.10000000,169.67087170
113.11000000,169.52055787
113.12000000,169.37044528
113.13000000,169.22053355
113.14000000,169.07082226
113.15000000,168.92131105
113.16000000,168.77199952
113.17000000,168.62288739
113.18000000,168.47397437
113.19000000,168.32526019
113.20000000,168.17674456
113.21000000,168.02842721
113.22000000,167.88030786
113.23000000,167.73238622
113.24000000,167.58466203
113.25000000,167.43713499
113.26000000,167.28980482
113.27000000,167.14267117
113.28000000,166.99573371
113.29000000,166.84899207
113.30000000,166.70244591
113.31000000,166.55609488
113.32000000,166.40993863
113.33000000,166.26397680
